SOC,Title,Task
29-1031.00,Dietitians and Nutritionists,Inspect meals served for conformance to prescribed diets and standards of palatability and appearance.
29-1031.00,Dietitians and Nutritionists,"Develop curriculum and prepare manuals, visual aids, course outlines, and other materials used in teaching."
29-1031.00,Dietitians and Nutritionists,"Prepare and administer budgets for food, equipment, and supplies."
29-1031.00,Dietitians and Nutritionists,Purchase food in accordance with health and safety codes.
29-1031.00,Dietitians and Nutritionists,"Select, train, and supervise workers who plan, prepare, and serve meals."
29-1031.00,Dietitians and Nutritionists,Manage quantity food service departments or clinical and community nutrition services.
29-1031.00,Dietitians and Nutritionists,Coordinate diet counseling services.
29-1031.00,Dietitians and Nutritionists,"Advise food service managers and organizations on sanitation, safety procedures, menu development, budgeting, and planning to assist with establishment, operation, and evaluation of food service facilities and nutrition programs."
29-1031.00,Dietitians and Nutritionists,"Organize, develop, analyze, test, and prepare special meals, such as low-fat, low-cholesterol, or chemical-free meals."
29-1031.00,Dietitians and Nutritionists,"Plan, conduct, and evaluate dietary, nutritional, and epidemiological research."
29-1031.00,Dietitians and Nutritionists,"Plan and conduct training programs in dietetics, nutrition, and institutional management and administration for medical students, health-care personnel, and the general public."
29-1031.00,Dietitians and Nutritionists,"Make recommendations regarding public policy, such as nutrition labeling, food fortification, or nutrition standards for school programs."
29-1031.00,Dietitians and Nutritionists,Write research reports and other publications to document and communicate research findings.
29-1031.00,Dietitians and Nutritionists,Plan and prepare grant proposals to request program funding.
29-1031.00,Dietitians and Nutritionists,Test new food products and equipment.
29-1031.00,Dietitians and Nutritionists,"Confer with design, building, and equipment personnel to plan for construction and remodeling of food service units."
29-1041.00,Optometrists,"Examine eyes, using observation, instruments, and pharmaceutical agents, to determine visual acuity and perception, focus, and coordination and to diagnose diseases and other abnormalities, such as glaucoma or color blindness."
29-1041.00,Optometrists,Analyze test results and develop a treatment plan.
29-1041.00,Optometrists,"Prescribe, supply, fit and adjust eyeglasses, contact lenses, and other vision aids."
29-1041.00,Optometrists,Prescribe medications to treat eye diseases if state laws permit.
29-1041.00,Optometrists,"Educate and counsel patients on contact lens care, visual hygiene, lighting arrangements, and safety factors."
29-1041.00,Optometrists,Consult with and refer patients to ophthalmologist or other health care practitioner if additional medical treatment is determined necessary.
29-1041.00,Optometrists,Remove foreign bodies from the eye.
29-1041.00,Optometrists,"Provide patients undergoing eye surgeries, such as cataract and laser vision correction, with pre- and post-operative care."
29-1041.00,Optometrists,Prescribe therapeutic procedures to correct or conserve vision.
29-1041.00,Optometrists,Provide vision therapy and low-vision rehabilitation.
29-1122.00,Occupational Therapists,Complete and maintain necessary records.
29-1122.00,Occupational Therapists,Evaluate patients' progress and prepare reports that detail progress.
